[2026-04-02 23:35:56] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/config/settings_backup.bin
[2026-04-02 23:35:57] Saving 2 values; 44 bytes
[2026-04-02 23:36:57] Saving 2 values; 44 bytes
[2026-04-02 23:37:57] Saving 2 values; 44 bytes
[2026-04-02 23:38:57] Saving 2 values; 44 bytes
[2026-04-02 23:39:57] Saving 2 values; 44 bytes
[2026-04-02 23:40:57] Saving 2 values; 44 bytes
[2026-04-02 23:41:57] Saving 2 values; 44 bytes
[2026-04-02 23:42:57] Saving 2 values; 44 bytes
[2026-04-02 23:43:57] Saving 2 values; 44 bytes
[2026-04-02 23:44:57] Saving 2 values; 44 bytes
[2026-04-02 23:45:57] Saving 2 values; 44 bytes
[2026-04-02 23:46:57] Saving 2 values; 44 bytes
[2026-04-02 23:47:57] Saving 2 values; 44 bytes
[2026-04-02 23:48:57] Saving 2 values; 44 bytes
[2026-04-02 23:49:57] Saving 2 values; 44 bytes
[2026-04-02 23:50:57] Saving 2 values; 44 bytes
