[2026-04-02 23:15:20] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/config/settings_backup.bin
[2026-04-02 23:15:21] Saving 2 values; 44 bytes
[2026-04-02 23:19:08] Loaded 2 values
[2026-04-02 23:19:08] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-02 23:19:09] Saving 2 values; 44 bytes
[2026-04-02 23:20:09] Saving 2 values; 44 bytes
[2026-04-02 23:21:09] Saving 2 values; 44 bytes
[2026-04-02 23:22:09] Saving 2 values; 44 bytes
[2026-04-02 23:23:09] Saving 2 values; 44 bytes
[2026-04-02 23:23:50] Loaded 2 values
[2026-04-02 23:23:50] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-02 23:23:52] Saving 2 values; 44 bytes
[2026-04-02 23:24:09] Saving 2 values; 44 bytes
[2026-04-02 23:25:09] Saving 2 values; 44 bytes
[2026-04-02 23:26:09] Saving 2 values; 44 bytes
[2026-04-02 23:27:09] Saving 2 values; 44 bytes
[2026-04-02 23:28:09] Saving 2 values; 44 bytes
[2026-04-02 23:29:09] Saving 2 values; 44 bytes
[2026-04-02 23:30:09] Saving 2 values; 44 bytes
[2026-04-02 23:31:09] Saving 2 values; 44 bytes
[2026-04-02 23:32:09] Saving 2 values; 44 bytes
[2026-04-02 23:33:05] Loaded 2 values
[2026-04-02 23:33:05] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-02 23:33:07] Saving 2 values; 44 bytes
[2026-04-02 23:33:09] Saving 2 values; 44 bytes
[2026-04-02 23:34:09] Saving 2 values; 44 bytes
[2026-04-02 23:34:31] Loaded 2 values
[2026-04-02 23:34:31] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-02 23:34:33] Saving 2 values; 44 bytes
[2026-04-02 23:35:09] Saving 2 values; 44 bytes
[2026-04-02 23:36:09] Saving 2 values; 44 bytes
[2026-04-02 23:37:09] Saving 2 values; 44 bytes
[2026-04-02 23:38:09] Saving 2 values; 44 bytes
[2026-04-02 23:39:09] Saving 2 values; 44 bytes
[2026-04-02 23:40:09] Saving 2 values; 44 bytes
[2026-04-02 23:41:09] Saving 2 values; 44 bytes
[2026-04-02 23:42:09] Saving 2 values; 44 bytes
[2026-04-02 23:43:09] Saving 2 values; 44 bytes
[2026-04-02 23:44:09] Saving 2 values; 44 bytes
[2026-04-02 23:45:09] Saving 2 values; 44 bytes
[2026-04-02 23:46:09] Saving 2 values; 44 bytes
[2026-04-02 23:47:09] Saving 2 values; 44 bytes
[2026-04-02 23:48:09] Saving 2 values; 44 bytes
[2026-04-02 23:49:09] Saving 2 values; 44 bytes
[2026-04-02 23:50:09] Saving 2 values; 44 bytes
[2026-04-02 23:53:20] Loaded 2 values
[2026-04-02 23:53:20] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-02 23:53:21] Saving 2 values; 44 bytes
[2026-04-02 23:55:50] Loaded 2 values
[2026-04-02 23:55:50] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-02 23:55:52] Saving 2 values; 44 bytes
[2026-04-02 23:55:53] Saving 2 values; 44 bytes
[2026-04-02 23:55:53] Saving 2 values; 44 bytes
[2026-04-02 23:55:54] Saving 2 values; 44 bytes
[2026-04-02 23:55:54] Saving 2 values; 44 bytes
[2026-04-02 23:55:54] Saving 2 values; 44 bytes
[2026-04-02 23:55:54] Saving 2 values; 44 bytes
[2026-04-02 23:55:55] Saving 2 values; 44 bytes
[2026-04-02 23:55:55] Saving 2 values; 44 bytes
[2026-04-02 23:55:55] Saving 2 values; 44 bytes
[2026-04-02 23:55:55] Saving 2 values; 44 bytes
[2026-04-02 23:55:56] Saving 2 values; 44 bytes
[2026-04-02 23:55:56] Saving 2 values; 44 bytes
[2026-04-02 23:55:56] Saving 2 values; 44 bytes
[2026-04-02 23:55:56] Saving 2 values; 44 bytes
[2026-04-02 23:55:57] Saving 2 values; 44 bytes
[2026-04-02 23:55:57] Saving 2 values; 44 bytes
[2026-04-02 23:55:57] Saving 2 values; 44 bytes
