[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings_backup.bin
[2026-04-03 02:11:52] Saving 2 values; 44 bytes
[2026-04-03 06:57:33] Loaded 2 values
[2026-04-03 06:57:33] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 06:57:36] Saving 2 values; 44 bytes
[2026-04-03 09:05:10] Loaded 2 values
[2026-04-03 09:05:10] Backed up config/settings.bin to config/settings_backup.bin (44 bytes)
[2026-04-03 09:05:13] Saving 2 values; 44 bytes
[2026-04-03 09:05:22] Saving 2 values; 44 bytes
[2026-04-03 09:05:23] Saving 2 values; 44 bytes
[2026-04-03 09:05:55] Saving 2 values; 44 bytes
[2026-04-03 09:05:55] Saving 2 values; 44 bytes
[2026-04-03 09:05:55] Saving 2 values; 44 bytes
[2026-04-03 09:05:55] Saving 2 values; 44 bytes
[2026-04-03 09:05:55] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:56] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:57] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:58] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:05:59] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:00] Saving 2 values; 44 bytes
[2026-04-03 09:06:01] Saving 2 values; 44 bytes
[2026-04-03 09:06:01] Saving 2 values; 44 bytes
